person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,predicted_loan_status
1,0,0,0.613528412,0.857142857,-0.068965517,-1.116853933,-0.333333333,1.2,-0.573529412,-1,0,0,-1,1,0,0,0,0,0
-0.333333333,0,0,-0.21130287,0.285714286,0.137931034,0.107865169,0.333333333,0,0.102941176,0,0,0,0,1,0,0,0,0,0
-0.666666667,-1,1,-0.613961156,-0.571428571,-0.413793103,0.869662921,0.083333333,0,1.044117647,-1,0,0,0,0,0,1,0,0,1
-0.5,-1,0.5,-0.559435372,-0.428571429,-0.413793103,0.669662921,0.083333333,-0.2,-0.632352941,0,0,1,-1,0,0,0,0,1,0
2.666666667,0,-0.5,0.018175261,2.285714286,0.275862069,0.988764045,0.25,1.4,-0.794117647,-1,0,0,-1,0,1,0,0,0,1
0.833333333,-1,0.5,-0.789799598,0.428571429,-0.482758621,-1.173033708,0.333333333,1,0.426470588,-1,0,1,-1,0,0,0,1,0,0
0.833333333,-1,0.5,0.694822523,0.428571429,0.551724138,0.316853933,0,0.6,0.441176471,0,0,0,0,0,0,0,1,0,0
-0.166666667,-1,0.5,-0.442718046,-0.142857143,-0.717241379,1.186516854,-0.5,-0.2,-0.176470588,-1,0,0,0,0,1,0,0,0,1
-0.166666667,-1,-0.5,0.446880635,-0.571428571,0.551724138,0.02247191,0.166666667,0,-0.735294118,-1,0,0,-1,0,1,0,0,0,0
0.5,-1,0,-0.250744423,0.571428571,0.551724138,0.44494382,0.833333333,0.8,0.470588235,-1,0,0,0,0,0,1,0,0,0
0.333333333,0,0.5,-0.938066045,-0.285714286,-0.642206897,0.449438202,0.25,0.4,-0.970588235,-1,0,0,0,0,0,0,0,0,1
1.166666667,-1,0.5,1.361186956,1.285714286,2.179310345,-0.170786517,0.5,0.2,0.147058824,-1,0,0,-1,0,0,1,0,0,0
-0.333333333,0,1,-0.564834372,-0.285714286,-0.896551724,-0.247191011,-0.666666667,-0.2,-0.779411765,-1,0,0,0,0,0,1,0,0,1
0.166666667,0,0.5,0.293730359,0.571428571,-0.413793103,0.692134831,-0.5,0.2,-0.485294118,0,0,0,0,0,0,0,1,0,0
-0.5,0,1,0.37127402,-0.571428571,0.413793103,-0.869662921,0.083333333,0,0.191176471,-1,0,1,-1,0,0,0,0,1,0
0,0,0,0.12386791,-0.142857143,0,1.294382022,-0.083333333,-0.4,-1.294117647,0,0,0,-1,0,0,0,1,0,0
0.666666667,-1,0,-0.220266859,0.428571429,-0.275862069,0.375280899,-0.083333333,0.4,0.735294118,0,0,1,-1,0,0,0,1,0,0
2.166666667,-1,0,-0.424439751,2.428571429,-0.137931034,0.107865169,0.25,1.4,-0.132352941,-1,0,0,0,0,0,0,0,0,0
1.5,-1,0,-0.130153006,1,0.551724138,0.552808989,0.666666667,0.6,-0.441176471,0,0,0,0,0,0,1,0,0,0
-0.166666667,-1,1,0.491432693,-0.571428571,-0.220689655,1.119101124,-0.416666667,-0.4,-2.220588235,0,0,0,0,0,0,0,1,0,0
0,0,0,-0.098088713,0,0.689655172,0.970786517,0.75,-0.4,-0.264705882,-1,0,0,-1,0,0,0,0,0,1
2.833333333,0,-0.5,-0.248271599,2.142857143,-0.137931034,-1.256179775,0.083333333,1.6,0.323529412,-1,0,0,0,1,0,0,0,0,0
2.166666667,-1,-0.5,-0.262964299,1.142857143,0,0.341573034,0.25,2,-0.794117647,-1,0,0,0,0,0,1,0,0,0
-0.666666667,0,-0.5,-0.709267941,-0.571428571,-0.889655172,0,-0.583333333,-0.4,-0.147058824,-1,0,0,-1,0,1,0,0,0,1
1,-1,0.5,0.373355314,0.285714286,-0.413793103,0.103370787,-0.5,0.4,0.588235294,-1,0,0,-1,0,0,1,0,0,0
0.5,-1,1,-0.125722528,0.285714286,0.779310345,-0.004494382,0.833333333,1,-0.205882353,0,0,0,-1,0,0,1,0,0,0
0.833333333,-1,0.5,1.980217403,0.428571429,-0.610482759,0.476404494,-0.833333333,1,-1.279411765,0,0,0,-1,0,0,0,0,1,0
-0.833333333,0,0.5,-0.273453197,-0.571428571,0.275862069,0.838202247,0.583333333,0,0.029411765,-1,0,0,0,0,0,0,1,0,1
0.5,0,0.5,0.369378188,0.857142857,-0.25862069,-0.791011236,-0.416666667,0.8,0.558823529,-1,0,0,0,0,0,0,0,1,0
0,0,-0.5,0.145855443,-0.142857143,-0.896551724,0.411235955,-0.833333333,-0.4,-0.25,-1,0,1,-1,0,1,0,0,0,0
0.5,0,0.5,0.943732935,0.142857143,1.655172414,1.305617978,0.5,0.8,0.176470588,0,0,0,-1,0,0,0,1,0,0
1.5,-1,0.5,0.51352326,0.714285714,1.931034483,-0.253932584,1,0.8,-1.544117647,0,0,0,-1,0,1,0,0,0,0
1,0,1,0.564566483,1.142857143,0.689655172,0.341573034,0.166666667,1.2,-0.485294118,0,0,0,0,0,1,0,0,0,0
0.666666667,0,1,1.853608779,0.285714286,2.620689655,0.157303371,0.416666667,0.4,0.529411765,0,0,0,-1,0,0,0,0,1,0
0.666666667,0,0.5,-0.530709392,0.428571429,0.789517241,1.006741573,1.75,1.2,0.75,-1,0,0,0,0,0,1,0,0,1
